domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"In Linux, tools such as virsh and virt-manager:","Enable users to interact with VMs (e.g., KVM-based) in a user-friendly way.","Enable users to interact with VMs (e.g., KVM-based) through a graphical interface.","Simplify the creation of software that controls VMs running on different hypervisors (KVM, Vmware, etc).","Simplify the creation of software that controls KVM-based VMs.",D,"Abstractions over Libvirt."
"When Linux leverages the KVM hypervisor:","QEMU runs at ring 3 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 3 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).",D,"QEMU (Host/User) = Ring 3 Root. Guest (Kernel) = Ring 0 Non-Root. Note: There is a typo in option D text provided in prompt 'VMX non-root' for QEMU, usually QEMU is VMX Root Ring 3. Assuming standard KVM architecture answer."
"In computing virtualization, a sensitive instruction:","Is always a privileged instruction.","Is an instruction that has to be handled with Trap-And-Emulate.","Is an instruction that may leak information about the current OS kernel context or actual hardware configuration.","Is never a privileged instruction.",C,"Sensitive instructions affect or reveal the global state of the machine."
"When the Trap-And-Emulate is used to handle a userland program invoking a system call:","We experience at least two transitions: User space --> GuestOS kernel --> HostOS kernel.","We experience at least two transitions: User space --> HostOS kernel --> GuestOS kernel.","We experience three transitions: User space --> HostOS kernel --> GuestOS kernel --> HostOS kernel.","We experience one transition: User space --> GuestOS kernel.",B,"User -> Host (Trap) -> Guest (Reflect)."
"The state of a VM, which is required to implement a hot migration, can be found in / consists in:","The content of the entire memory allocated to the VM.","The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor.","The content of the entire memory allocated to the VM plus the entire state of the hypervisor.","The content of the memory used by the VM.",B,"Memory + Hypervisor device state."
"Modern CPUs","Have many CPU rings, and N of them are intended for executing OS kernels (where N can be dynamically programmed)","Have 8 CPU rings, but a user-level application can use only 4 of them","Have several CPU rings, and 2 of them are intended for executing OS kernels","Have 8 CPU rings, in increasing order of privilege (from least to most privileged)",C,"Host Ring 0 and Guest Ring 0."
"In computing virtualization, a hypervisor","Emulates a large number of different physical devices (e.g., NICs from many vendors) through direct I/O assignment techniques","Emulates a large number of different physical devices (e.g., NICs from many vendors) through para virtualization techniques","Is usually able to emulate a small number of different physical devices (e.g., NICs from a few vendors)","Is usually able to emulate a large number of different physical devices (e.g., NICs from many vendors)",C,"Emulation is limited to a few standard devices."
"The state of a VM, which is required to implement a hot migration, consists in","The content of the memory used by the VM","The content of the entire memory allocated to the VM plus the entire state of the hypervisor","The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor","The content of the entire memory allocated to the VM",C,"Memory + Hypervisor state."
"Docker filesystem modification","This is not possible, as layers cannot be modified at run-time","The file will be written in the root file system of the server","The file will be written in a temporary area in memory (RAM)","The file will be written in the file system of the running Docker",D,"Docker uses a Copy-on-Write (CoW) strategy. The running container has a writable layer on top of the read-only image layers."
"Layered file system in Docker builds a new layer","A Docker inherits from another Docker (e.g., the 'FROM' tag in Dockerfile)","The Docker is re-generated e.g., due to a new software release","The Docker is executed on the target machine","The Dockerfile executes a command that modifies the current filesystem",D,"Each instruction in a Dockerfile (like RUN, COPY) that modifies the filesystem creates a new layer."
"Docker reporting resources on a server with 2 CPUs and 512GB RAM","104 CPU cores and 512 GB RAM","A value that depends on the number of Dockers that are currently running on the machine (e.g., 26 cores and 128GB RAM in case of 4 Dockers running)","The resources assigned to the VM that contains the Docker (e.g., 2 CPU cores and 4GB RAM)","The resources assigned to that Docker a startup (e.g., 2 CPU cores and 4GB RAM)",A,"Containers are processes. Unless limits are set and tools are namespace-aware, standard tools (top/htop) inside the container often show the Host's total resources."
"Cloud-native application executed at the edge","It cannot afford network problems (e.g., outages, limited bandwidth, etc)","It requires very low latency","It needs to keep some data local, or it needs to reduce the data volume before sending it to the cloud","All the other answers",D,"Edge computing addresses latency, bandwidth/connectivity issues, and data sovereignty/volume reduction."
"KVM VMs connected to a pure software bridge","You are usually able to guarantee full Internet network connectivity to the services running within the VMs","You are usually able to guarantee full Internet network connectivity to the services running within the VMs only if all the software bridges are connected together, e.g., through tunnels","You are usually able to guarantee full Internet network connectivity to the services running within the VMs, but only if a single server is considered","You are usually not able to guarantee full Internet connectivity to the services running within the VMs",D,"A pure software bridge (Layer 2) connects VMs. Without an uplink to a physical router/NIC or NAT/Routing configuration on the Host, there is no path to the Internet."
"SaaS customer ability","The customer has no way to obtain a customized version of the software","The customer can modify the software to better fit its necessities","The customer has the responsibility to scale the software to support peaks of load","The customer can ask the software provider to modify the software to better fit its necessities",D,"SaaS is a managed service. Customers cannot modify code themselves; they must request features from the provider."
"Internet Exchange (IX)","Simplifies the connection of different cloud providers one to the others","Simplifies the exchange of network traffic between multiple entities (e.g., cloud providers, over-the-top, network operators)","Simplifies the purchase of cloud resources from a customer","Simplifies the exchange of cloud resources between providers and customers",B,"IXPs are physical infrastructure where ISPs and CDNs exchange Internet traffic between their networks."
"Cloud-init tool usage","Push the SSH keys in the VM","Configure the network","Mount an external volume to the VM","Set the hardware profile of the VM",A,"Cloud-init runs at first boot to inject user data, such as SSH public keys, to allow login."
"Reachability of a VM running in OpenStack","Is never guaranteed","Is enabled by default","Requires the explicit configuration of routing and firewalling rules","Must be explicitly enabled in the OpenStack configuration of the VM",D,"(Based on Solution D): OpenStack typically starts VMs in an isolated state. Floating IPs and Security Groups (firewall rules) must be configured to allow access."
"ClusterIP service usage","For a service that has to be replicated many times in order to sustain (and terminate) the incoming traffic coming from the Internet","For a service that is being tested from inside the cluster, in order to make sure that its behavior is correct before allowing any public client (on the Internet) to reach it","For a service that acts as a 'client' pod, which connects to another service running in the cluster (e.g., to simulate fake customers)","For a service that has to be reachable only inside the cluster, e.g., a backend database service consumed by a web server frontend",D,"Internal-only services (like databases) use ClusterIP to be accessible by other pods but not the Internet."
"Daemonset in Kubernetes","A pod that must be executed on each Kubernetes node at boot time (e.g., to initialize server resources)","A pod that must be always running on each Kubernetes node (e.g., to provide network services)","A Kubernetes 'system' pod that must always be running in a Kubernetes cluster (e.g., metrics server)","A pod that runs as a Linux daemon (e.g., with systemd)",B,"DaemonSets ensure that a copy of the Pod runs on all (or selected) Nodes. Useful for logs, monitoring agents, or network plugins."
"In a new datacenter, servers:","Are selected mainly to privilege energy efficiency.","Are usually all equal (in terms of CPU, memory, disks, etc).","Are usually very different (in terms of CPU, memory, disks, etc), based on the applications that you expect to run on them.","Are bought from different manufacturers in order to leverage better prices.",B,"Standardization (Homogeneity) reduces maintenance complexity and spare parts inventory."
"An e-commerce site that leverages a database-as-a-service from the cloud provider that to run in 'high-availability'. You would choose to setup this service:","In multiple replicas across different Cloud Providers.","In multiple replicas across different Continents.","In multiple replicas across different Regions.","In multiple replicas across different Zones.",C,"(Based on Solution C) Availability Zones (AZs) are isolated locations within a Region. Replicating across AZs protects against datacenter failures while keeping latency low. (Note: Regions would be DR, AZ is HA)."
"When you deploy an application (e.g., e-commerce site) on a cluster in public cloud and you want to have a reliable service:","You have to deploy the application also on an additional cluster on-prem.","You do not have to worry about reliability, which is guaranteed by the cloud provider.","You have to care about reliability, which is not completely guaranteed by the cloud provider.","You have to deploy the application with multiple replicas of each microservice.",C,"Cloud providers guarantee infrastructure SLA, not application reliability. The user is responsible for architecture (Shared Responsibility Model)."
"The deployment of cloud computing technologies at the edge of the network is useful with:","Applications that cannot afford network problems (e.g., outages, limited bandwidth, etc).","Applications that require very low latency.","Applications that need to keep some data local, or that need to reduce the data volume before sending it to the cloud.","All the other answers.",D,"Edge addresses latency, bandwidth, and autonomy requirements."
"Technologies for computing virtualization:","Are used only in servers.","Are massively used in embedded devices.","Are alternative (and not compatible) with the world of containers.","Are used whenever strong computing isolation is required.",D,"Virtualization provides strong hardware-level isolation (security boundary), unlike containers which share the kernel."
"The filesystem in a Docker:","At startup, it is completely independent from the one present on the hosting machine; however, temporary files created during Docker execution are stored in the filesystem of the hosting machine (e.g., /var/tmp).","Inherits from the one present in the hosting machine, properly updated to get exactly the desired structure in terms of files and folders.","Is created in a way that a running Docker does not consume any disk space in the hosting machine.","Is completely independent from the one present on the hosting machine.",A,"The Docker container has its own root filesystem (from image layers) isolated from the Host OS, but writes eventually hit the Host disk (e.g., /var/lib/docker)."
"A Docker is running on a server that has 2 CPUs (52 cores each). If, inside the Docker, we execute an application that maximizes its performance by creating a number of threads equal to the number of CPU cores available, it will create the following number of threads:","Equal to the number of CPU cores assigned to that Docker at startup (e.g., 2 CPU cores > 2 threads)","104","52","Equal to the number of CPU cores assigned to that Docker in the Dockerfile (e.g., 2 CPU cores --> 2 threads)",B,"Without specific CPU limits/quotas, a container sees all available Host CPUs."
"The reachability of a VM running in OpenStack from a customer connected to the Internet:","Must be explicitly enabled in the OpenStack configuration of the VM.","Requires the explicit configuration of routing and firewalling rules.","Is enabled by default.","Is never guaranteed.",A,"Requires Floating IPs and Security Group rules."
"A pod (and it associated service) is running in a Kubernetes datacenter and is reachable from the outside world through an Ingress controller. When a client (on the Internet) establishes a TCP connection toward the pod/service:","Network packets entering in the datacenter will have the POD IP as destination IP address.","Two cascading TCP connections must be established to allow the client to connect to the pod.","Network packets received by the service will have the client IP as source IP address.","Network packets entering in the datacenter will have the SERVICE IP as destination IP address.",B,"(Solution B): Ingress terminates the external connection (Reverse Proxy) and opens a new connection to the backend Service/Pod."
"In a service mesh, each micro-service:","Must be manually enriched with a component that implements the service mesh.","Is automatically started with a sidecar that implements the service mesh.","Is automatically enriched with a component that redirects the traffic to the API gateway.","Loads a shared library that implements the service mesh.",B,"Service Meshes (like Istio) automatically inject a 'Sidecar' proxy (Envoy) into the Pod to handle traffic."
"An instruction executed at CPU ring 0 (VMX non-root mode):","Will never generate a trap.","Will generate a trap if it is either a sensitive or privileged instruction.","Will generate a trap if it is a sensitive instruction.","Will generate a trap if it is a privileged instruction.",B,"Privileged instructions in Non-Root mode generally trap to the Hypervisor."
"A CPU that supports VMX root/non-root modes:","Is more efficient when handling privileged instructions in the Host.","Is more efficient when handling privileged instructions in the GuestOS.","Never experiences traps when running code in VMX non-root mode.","Is more efficient when handling system calls.",D,"(Note: Solution D implies 'Efficiency in System Calls' or 'Guest OS Privileged instructions' depending on the exact question variant in the source. Hardware virtualization generally makes Guest privileged operations more efficient than software emulation)."
"In computing virtualization, the direct assignment for I/O devices identifies:","A real device that is completely controlled by the GuestOS.","A virtual device that is completely controlled by the GuestOS.","A virtual device that is completely controlled by the HostOS.","A real device that is completely controlled by the HostOS.",A,"Passthrough: Guest controls Physical Device."
"When the GuestOS boots in a virtualized environment:","It usually detects a set of real devices presented to it by the hypervisor.","It can detect all the real devices present on the hosting server.","It can detect a few of the real devices present on the hosting server.","It usually detects a set of virtual devices presented to it by the hypervisor.",D,"Guest sees virtual devices."
"A VIRTIO driver running in a GuestOS:","Uses mainly VMEntry/VMExit to send/receive data.","Uses mainly bi-directional queues shared with the companion backend driver to send/receive data.","Uses mainly syscalls to send/receive data.","Uses mainly special (VirtIO) devices to send/receive data.",B,"Virtqueues (shared memory rings)."
"In Linux, tools such as virsh and virt-manager:","Enable users to interact with VMs (e.g., KVM-based) through a graphical interface.","Simplify the creation of software that controls KVM-based VMs.","Simplify the creation of software that controls VMs running on different hypervisors (KVM, Vmware, etc).","Enable users to interact with VMs (e.g., KVM-based) in a user-friendly way.",D,"Based on Libvirt abstraction."
"When Linux leverages the KVM hypervisor:","QEMU runs at ring 3 (VMX root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 3 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX root), the GuestOS runs at ring 0 (VMX non-root).","QEMU runs at ring 0 (VMX non-root), the GuestOS runs at ring 0 (VMX non-root).",A,"QEMU = Ring 3 Root (Host). Guest = Ring 0 Non-Root."
"In computing virtualization, a sensitive instruction:","Is an instruction that may leak information about the current OS kernel context or actual hardware configuration.","Is always a privileged instruction.","Is an instruction that has to be handled with Trap-And-Emulate.","Is never a privileged instruction.",A,"Sensitive = Reveals/Changes state. If not privileged, it causes virtualization holes."
"When the Trap-And-Emulate is used to handle a userland program invoking a system call:","We experience one transition: User space -> GuestOS kernel.","We experience at least two transitions: User space --> HostOS kernel --> GuestOS kernel.","We experience three transitions: User space --> HostOS kernel --> GuestOS kernel --> HostOS kernel.","We experience at least two transitions: User space --> GuestOS kernel --> HostOS kernel.",B,"User -> Host (Trap) -> Guest."
"The state of a VM, which is required to implement a hot migration, can be found in / consists in:","The content of the entire memory allocated to the VM.","The content of the memory used by the VM.","The content of the entire memory allocated to the VM plus the entire state of the hypervisor.","The content of the entire memory allocated to the VM plus some additional information stored in the hypervisor.",D,"RAM + Hypervisor State."
