domanda,opzioneA,opzioneB,opzioneC,opzioneD,soluzione,motivazione
"Un algoritmo di routing di tipo selective flooding:","E' sostanzialmente simile all'algoritmo di flooding classico, con la differenza che ciascun pacchetto in arrivo viene ritrasmesso su tutte le linee eccetto quella su cui è stato ricevuto","E' sicuramente più robusto di un classico algoritmo di flooding","Consente di ridurre il numero di volte in cui un pacchetto viene inviato sulla stessa porzione di rete","Richiede che i pacchetti inviati contengano un numero di sequenza",C,"Il selective flooding invia i pacchetti solo verso i router che si trovano nella direzione della destinazione, riducendo il traffico rispetto al flooding puro."
"Secondo 6PE","I router Provider Edge (PE) sono dual stack","i router Provider P sono sono IPv4, i router Provider Edge PE sono solo Ipv6","tutti i router MPLS sono IPv4","tutti i router MPLS sono dual stack",A,"In 6PE, i router PE devono supportare sia IPv4 che IPv6 (Dual Stack) per incapsulare il traffico IPv6 in MPLS e trasportarlo sul core IPv4."
"A differenza della versione 4 dell'IP, la versione 6:","Non ha una versione dell'ICMP associata.","Non permette di scoprire l'indirizzo MAC di un'altra stazione, conoscendone l'indirizzo IP.","Non ha indirizzi broadcast.","Non ha un equivalente del campo TTL (time-to-live).",C,"IPv6 elimina il broadcast e utilizza indirizzi multicast (es. all-nodes multicast) per le funzioni equivalenti."
"il count to infinity","permette di capire se un nodo non è più raggiungibile","è una variante dell'algoritmo link state ch evita la creazione di loop","è uno stato transitorio dell'algoritmo distance vector","nessuna delle precedenti",D,"[Nota: La soluzione indicata è D. Tecnicamente il count-to-infinity è un problema dei protocolli Distance Vector (opzione C imprecisa?) che causa loop temporanei]."
"Nel IPv6 cosa sparisce dalle intestazioni, rispetto a IPv4?","Il tempo di vita del pacchetto.","Gli indirizzi mittente e destinatario.","L'indicazione su quale sia l'intestazione successiva.","Il checksum dell'intestazione.",D,"IPv6 rimuove il campo checksum dall'header per ridurre il carico di elaborazione sui router, affidandosi ai controlli di errore dei livelli inferiori e superiori."
"La tecnica ""Path Vector"" permette di:","Risolvere il problema del count to infinity","Risolvere il problema delle route sovrapposte","Rendere il protocollo ""trasparente"" rispetto all'informazione trasportata","Nessuna delle precedenti",A,"Conoscendo l'intera sequenza degli AS attraversati, un router può scartare percorsi che contengono il proprio AS, prevenendo i loop infiniti tipici del Distance Vector."
"L'architettura MPLS (multi-protocol label switching) è caratterizzato da","Un diverso meccanismo (rispetto all'IP puro) per decidere l'interfaccia di uscita verso cui un pacchetto debba essere inoltrato.","Un supporto particolarmente evoluto per fornire servizi a qualità garantita.","Protocolli di routing particolarmente veloci ad aggiornare le tabelle di routing in seguito a cambiamenti topologici in modo da recuperare velocemente i guasti.","Terminali di rete intelligenti in grado di personalizzare i servizi ricevuti dalla rete.",A,"MPLS usa il Label Swapping (scambio di etichette) invece del Longest Prefix Match sugli indirizzi IP per prendere decisioni di inoltro."
"In the fully operational OSPF protocol, all routers have in memory:","The same tree of optimal routes","The database describing the area to which they belong","The same database describing the entire AS","A Distance Vector set of all neighboring routers",B,"I router OSPF mantengono un Link State Database (LSDB) identico per tutti i router appartenenti alla stessa area."
"Il frequency hopping (FH) permette","di trasmettere bursts consecutivi su frequenze diverse a discapito di una riduzione della capacità","di trasmettere slot consecutivi sulla stessa frequenza con una riduzione della capacità","di trasmettere bursts consecutivi su frequenze diverse con un aumento della capacità","di trasmettere bursts consecutivi sulla stessa frequenza",A,"Il salto di frequenza migliora la qualità del segnale riducendo le interferenze e il fading, ma non aumenta la capacità del canale."
"L'autoconfigurazione stateless in IPv6 richiede:","Un server DHCPv6.","Un server presente sulla rete locale.","Un server presente sulla rete aziendale (intranet).","È possibile anche se non si è in presenza di server o router.",D,"SLAAC permette a un host di configurarsi ascoltando i Router Advertisement (RA) dai router locali, senza bisogno di server DHCP centrali."
"i gruppi multicast in ipv4","vengono identificati da particolari indirizzi IP che non possono essere assegnati alle singole stazioni","vengono identificati dalla lista degli indirizzi MAC delle stazioni appartenenti ad un dato gruppo.","non esistono","vengono identificati dalla lista degli indirizzi IP delle stazioni appartenenti ad un dato gruppo.",A,"Gli indirizzi di Classe D (224.0.0.0/4) identificano gruppi logici di host e non interfacce singole (unicast)."
"Un LSA Router Link del protocollo OSPF descrive:","Un link che connette l'advertising router con uno dei router ad esso adiacenti","Un riassunto delle reti raggiungibili","La lista dei router connessi in una LAN","Il valore corrente dei parametri relativi ad un link tra due router",A,"LSA Type 1 (Router Link) elenca tutti i link del router e i vicini ad essi connessi."
"when a MPLS frame has multiple labels, routers:","only can swap the next external and the next label to each other","only process the next internal label to decide how to forward the frame","can swap any of the labels","only process the next eternal label to decide how to forward the frame",D,"[Soluzione D intesa come 'external']. I router commutano basandosi solo sull'etichetta più esterna (top of stack)."
"An IPSec-based VPN (Virtual Private Network)","Requires that the end points support the IPSec protocol","Requires that the involved Gateway supports the IPsec protocol","Deploys tunneling to allow encryption and/or authentication of IP packets exchanged by corporate hosts","The encryption is mandatory, while the authentication is optional",C,"IPsec usa protocolli come ESP e AH in modalità tunnel per cifrare e autenticare i pacchetti IP che viaggiano su reti pubbliche."
"Il protocollo GRE ha lo scopo di:","Proteggere i pacchetti contro le intercettazioni.","Gestire l'incapsulamento di pacchetti da trasportare attraverso un tunnel.","Autenticare il mittente dei pacchetti.","Verificare l'integrità dei pacchetti in arrivo.",B,"GRE è un protocollo di incapsulamento generico che permette di trasportare qualsiasi protocollo di livello 3 sopra una rete IP."
"Nell'algoritmo di routing di tipo Path Vector:","Ogni record contenuto nel Path Vector contiene la destinazione, la distanza dal router in esame, e il next hop router","Ogni record contiene la destinazione, la distanza, e il prossimo Autonomous System","Ogni record contiene la destinazione, la distanza, e l'elenco dei router da attaversare","Ogni record contiene la destinazione, la distanza, e l'elenco degli Autonomous System da attraversare",C,"[Nota: la soluzione indicata è C 'elenco dei router', ma BGP Path Vector memorizza elenco degli AS. Nel testo la risposta corretta è la C, forse intesa come 'Path Vector generico']. Errata corrige: Nel BGP è la lista degli AS."
"Il protocollo RIP prevede meccanismi per ridurre la possibilità di verificarsi di loop:","Attraverso l'analisi dei pacchetti in transito","Per mezzo di processi di traceroute","Attraverso meccanismi di Split-Horizon e di Hold-Down","Nessuna delle risposte precedenti",C,"Split Horizon (non annunciare route da dove le hai imparate) e Hold-Down Timer sono tecniche standard per mitigare i loop nei protocolli Distance Vector."
"Le reti private virtuali (virtual private network, VPN) vengono utilizzate per","Trasportare traffico privato su una infrastruttura condivisa ricreando le stesse condizioni che si avrebbero tramite l'utilizzo di una infrastruttura privata","Suddividere una rete locale aziendale in sottoreti","Partizionare una rete privata in varie reti virtualmente separate",N/A,A,"Definizione classica di VPN: estensione sicura della rete privata su infrastruttura pubblica."
"In una interfaccia radio, tra le tante funzioni il MAC layer","Permette il controllo del flusso","Permette l'accesso al canale","Esegue la negoziazione e il controllo del QoS","Nessuna delle precedenti",B,"Il livello MAC (Medium Access Control) gestisce l'arbitraggio per l'accesso al mezzo condiviso (radio)."
"Filtering table of a VLAN:","It can only be updated manually","It can be updated manually or automatically with appropriate protocols","Contains only local network Ips",N/A,B,"Le tabelle di filtering (FDB) sugli switch si aggiornano automaticamente apprendendo i MAC address sorgente (learning) o tramite protocolli di gestione (es. GMRP/GVRP)."
"Select the correct response","End to end VPN is always better than site to site VPN","Firewall and IDS cannot be placed inside a network protected by a VPN gateway","Skewed channel is a type of IPsec tunnel","None of the options",D,"Le affermazioni A, B, C sono false o inesatte. Quindi D."
"One of the protocols used in MPLS for label distribution is:","L2TP","OSPF","IS-IS","BGP",D,"Oltre a LDP, il protocollo BGP (MP-BGP) è usato per distribuire etichette, specialmente per le VPN MPLS."
"Il fattore che ha contribuito al rallentamento della diffusioner di Ipv6 é:","La possibilità di utilizzare indirizzi ipv4 privati per connettersi a internet","Una diminuzione del numero di dispositivi","Un ritiro e redistribuzione piú accorta degli indirizzi IPv4 già usati","Un miglior utilizzo della rete internet da parte degli utenti finali",A,"L'uso massiccio del NAT (con indirizzi privati RFC1918) ha prolungato la vita di IPv4 mitigando l'esaurimento degli indirizzi, rallentando la spinta verso IPv6."
"The Timing Advance in the GSM is","The capability of a mobile terminal to operate in different time zones","The beginning of the transmission at a mobile terminal after the beginning of its assigned time-slot","The beginning of the transmission at a mobile terminal before the beginning of its assigned time-slot","The beginning of the transmission before SDCCH creation",C,"Timing Advance compensa il ritardo di propagazione dicendo al cellulare di trasmettere un po' in anticipo affinché il segnale arrivi alla base station nello slot temporale corretto."
"La differenza tra gli algoritmi di instradamento di tipo link state e distance vector si può riassumere come segue","LS inviano info interezza a tutti; DV info locali solo ai vicini","LS inviano info locali solo ai vicini; DV interezza a tutti","LS inviano info locali a tutti; DV interezza solo ai vicini",N/A,C,"Link State: inonda lo stato dei propri link a tutti (LSA flooding). Distance Vector: manda il proprio vettore delle distanze (tutto ciò che sa) solo ai vicini."
"Gli indirizzi Ipv6","Permettono la comunicazione di stazioni IPv6 con stazioni IPv4 senza nessun particolare meccanismo aggiuntivo.","Mantengono la stessa suddivisione flessibile tra una parte network e una parte host già presente in IPv4.","Sono rigidamente partizionati in una parte network, subnetwork e host.","Sono rigidamente partizionati in una parte network e una parte host.",B,"IPv6 mantiene la struttura prefisso di rete + identificativo host (Interface ID), simile alla logica netmask di IPv4 (CIDR)."
"Nei protocolli di routing, il periodo di transitorio:","è presente solo quando vengono adottati gli algoritmi più semplici (es. Distance Vector)","Non è mai presente","Si verifica sempre nel periodo immediatamente successivo al rilevamento di un guasto","Si verifica sempre nel momento in cui una parte della rete cambia di stato",D,"Il transitorio è il tempo necessario affinché la rete converga a un nuovo stato stabile dopo un cambiamento topologico (guasto o aggiunta)."
"Le entry del filtering database di uno switch Ethernet","Hanno tutte validità temporale infinita","Hanno una validità temporale generalmente impostabile dall'amministratore dello switch","Hanno tutte validità temporale inferiore al secondo","Hanno una validità temporale che varia nel tempo",B,"Le voci apprese dinamicamente hanno un Aging Time (solitamente 300s), configurabile dall'amministratore."
"When an IPv6 host needs to learn the MAC address associated to a given IPv6 address","It can send a specific ICMPv6 message in multicast over the network","It can send a specific ICMPv6 message in unicast over the network","It can send an ARP Request in broadcast over the network","It can send a specific ICMPv6 message in broadcast over the network",A,"Usa il messaggio Neighbor Solicitation (ICMPv6 tipo 135) inviato all'indirizzo multicast Solicited-Node."
"Which of these techniques is not a solution for the IPv4-IPv6 transition?","6mix4","Teredo","6to4","6over4",A,"6mix4 non esiste. Le altre sono tecniche di tunneling o traduzione valide."
"One of the reasons that are favoring the spread of the IPv6 protocol is","The more and more widespread need to use multicast applications","The low inclination of network operators to modify the configuration of their own networks","The possible inefficiency of the private IPv4 addressing","The lack of MAC addresses",C,"Le limitazioni e le complessità introdotte dal NAT su larga scala (Carrier Grade NAT) rendono l'indirizzamento privato IPv4 inefficiente per certe applicazioni."
"Il Multipath routing:","è supportato dalle maggiori implementazioni di RIP","Permette ai router di utilizzare percorsi multipli durante i transitori","Può essere causa di loop se si ammette che i percorsi utilizzati possano avere costi differenti","E consigliato solamente se il traffico dati è composto prevalentemente da pacchetti TCP",C,"Se i router usano percorsi multipli con costi diversi senza un coordinamento rigoroso (es. ECMP con costi uguali), si possono creare cicli di instradamento."
"Due trame ethernet possono collidere per quale motivo?","Switched full duplex","Switched half duplex","Per colpa della coda nei buffer dello switch","Capita spesso a causa della contesa del canale",B,"In una rete switched moderna, le collisioni avvengono solo se la porta è configurata in Half Duplex, dove si applica il CSMA/CD."
"Quale di queste tecniche non è una soluzione per la transizione IPV4-IPV6?","6to4","Teredo","6over4","6mix4",D,"(Domanda duplicata della 37 - conferma 6mix4 come risposta errata)."
"What did it contribute to slow down the spread of IPv6","The recall and a more careful reallocation of all the IPv4 addresses already in use","A more careful utilization of the Internet network by final users","The possibility to use private IPv4 addresses for the Internet access","The decrease of the number of connected devices",C,"(Simile alla 30) L'uso di NAT e indirizzi privati ha ritardato l'esaurimento percepito degli indirizzi IPv4."
"Router A-B-C-D ad anello. Se A invia a D con flooding, quante copie riceve D?","1","2","4","Proporzionale al TTL",B,"In un anello semplice, il flooding invia il pacchetto in entrambe le direzioni (orario e antiorario), quindi D lo riceverà da due lati (da C e da A/B)."
"Given a network... optimize routing on a given router by","Assigning distinct network IDs randomly","Splitting network in areas and defining smaller distinct address ranges","Assigning distinct network IDs selected within the address range in decreasing order of network size",N/A,B,"L'assegnazione gerarchica degli indirizzi (aggregazione) permette di riassumere molte route in poche entry nella tabella di routing."
"Which of the following choices is not an Adaptive Routing algorithm?","Selective Flooding","Isolated Routing","Link State","Centralized Routing",A,"Il Flooding (anche selettivo) è una tecnica di inoltro non adattiva in senso stretto (non cambia tabella in base al carico/costo dinamico), anche se 'Isolated' è spesso citato come statico/semplice. [Nota: Soluzione file è A]."
"La differenza tra gli algoritmi di instradamento di tipo link state e distance vector si può riassumere come segue","LS info interezza a tutti; DV info locali solo ai vicini","LS info locali solo ai vicini; DV interezza a tutti","LS info locali a tutti; DV interezza solo ai vicini",N/A,C,"(Duplicato della 32)."
"Il protocollo di routing OSPF sceglie il percorso verso una destinazione tenendo conto di:","Lunghezza di ciascun link lungo il percorso","Banda e ritardo per ogni link","Può essere configurato ad utilizzare svariate metriche","Hop Count",C,"OSPF usa un 'costo' per link. Sebbene di default Cisco usi la banda (10^8/BW), la metrica è un valore adimensionale configurabile dall'amministratore."
"A consequence of the deployment of VLANs in a local area network is:","The network security increases as frames are encrypted","The creation on virtual interfaces on switches","Users must be authenticated","The broadcast traffic is bounded to the VLAN where it has been generated",D,"Le VLAN segmentano il dominio di broadcast: un pacchetto broadcast inviato in una VLAN non raggiunge le altre."
"Qual è l'uso dei meccanismi di policing?","Servono all'utente per concordare con il fornitore il livello di QoS.","Servono al fornitore di servizi per verificare che il traffico immesso dal cliente sia conforme agli accordi presi.","Servono all'utente per verificare che il traffico in arrivo dal fornitore sia conforme agli accordi presi.","Sono usati nei vari router per garantire un tempo massimo di attraversamento per ciascuno di essi.",B,"Il policing controlla che il traffico in ingresso rispetti i parametri (es. banda massima) del contratto (SLA) e scarta/marca l'eccedenza."

"La metrica (costo) in un algoritmo di instradamento esprime","Il peso da assegnare ad un collegamento e usato nella selezione del cammino","La probabilità che venga utilizzato il cammino più breve","La complessità di calcolo dell'algoritmo",N/A,A,"La metrica è il valore numerico che l'algoritmo minimizza per trovare il percorso 'migliore' (shortest path)."

Domanda,OpzioneA,OpzioneB,OpzioneC,OpzioneD,Soluzione,Motivazione
"La combinazione di meccanismi di secchiello dei token (o secchio bucato) e Weighted Fair Queueing (WFQ) serve a garantire:","Un tempo di attraversamento massimo di un router.","Un tempo di attraversamento massimo di un NAT.","Una banda massima per ogni flusso di pacchetti.","Un burst massimo di pacchetti consecutivi, per ciascun flusso.",A,"Il Token Bucket controlla il burst e la velocità media, mentre il WFQ garantisce una gestione equa delle code, permettendo di determinare limiti deterministici sul ritardo di accodamento."
"Le soluzioni di VPN (virtual private network) basate su SSL (secure socket layer) consentono:","Di distribuire in modo sicuro su diversi server applicazioni basate sul web","Di creare cluster di server privati","Ad un'azienda di rendere disponibili in modo sicuro ai propri dipendenti fuori sede specifiche applicazioni aziendali.","La realizzazione di un backbone sul quale un fornitore di servizi (service provider) può facilmente ed efficientemente fornire servizi di connettività ai suoi clienti",C,"Le SSL VPN (spesso clientless o via browser) sono ideali per dare accesso granulare a specifiche applicazioni interne (web, mail) a utenti remoti senza estendere l'intera rete."
"Un host appartenente ad una certa VLAN","Può contattare solo host nella stessa VLAN","Può contattare host nelle altre VLAN tramite un router","N/A","N/A",B,"Le VLAN isolano i domini di broadcast. Per comunicare tra VLAN diverse è necessario un dispositivo di livello 3 (router o switch L3) che faccia routing."
"Gli algoritmi di scheduling vengono utilizzati:","Nei router di accesso, per assicurarsi che il traffico generato da un utente sia conforme al profilo...","Nei firewall, per ritardare i pacchetti...","Nei router, per decidere quale sia l'ordine con cui debbano essere trasmessi i pacchetti in attesa ad una interfaccia.","Nei router, per schedulare opportunamente l'elenco dei comandi...",C,"Lo scheduling (es. FIFO, WFQ, Priority Queuing) determina l'ordine di servizio dei pacchetti nelle code di uscita delle interfacce, influenzando QoS e ritardi."
"The Frequency Reuse in a cellular network refers to","The reuse of frequencies usually adopted for other services","The reuse of the same frequency to send consecutive text messages","The reuse of the same frequency for all the phone calls made by a terminal","The reuse of the same frequency in different cells that are sufficiently distant",D,"Il riuso delle frequenze è il concetto base delle reti cellulari: la stessa frequenza può essere usata in celle diverse purché l'interferenza co-canale sia accettabile (distanza sufficiente)."
"Nel protocollo di routing BGP:","Le informazioni di topologia hanno sempre la precedenza sull'applicazione delle politiche...","L'applicazione delle politiche di instradamento (""policy"") ha sempre la precedenza rispetto alle informazioni di topologia","Viene scelto sempre il percorso a costo inferiore verso ogni destinazione","Viene scelto sempre il percorso a costo inferiore... a meno di limitazioni...",B,"BGP è un protocollo basato su policy (Policy-Based Routing); le decisioni amministrative dell'AS prevalgono sui semplici percorsi più brevi."
"What is the typical role of IPSec in VPNS?","To distribute in a secure way the key required by other protocols","To allow the transmission of authentication information...","To open a managed secure tunnel across the public internet","To verify the user identity to allow other protocols...",C,"IPsec fornisce l'infrastruttura di sicurezza (cifratura e incapsulamento) per creare tunnel sicuri su reti pubbliche IP."
"Virtual LANS (VLANs) are","Networks that are able to emulate on a given LAN the presence of a remote device...","Networks created only among Virtual Machines (VMs)","Virtually distinct local area networks but created over a single physical infrastructure","Very high performance wireless networks",C,"Le VLAN permettono di segmentare logicamente una singola infrastruttura fisica (switch e cavi) in più reti locali distinte."
"Il meccanismo dello ""Split Horizon"" permette di:","Eliminare la possibilità che si verifichino loop in seguito a cambiamenti della topologia","Ridurre la probabilità che si verifichino loop in seguito a cambiamenti della topologia","Disabilitare, durante la fase di convergenza, l'invio di pacchetti...","Diminuire il traffico di routing...",B,"Lo Split Horizon evita di annunciare una rotta all'interfaccia da cui è stata appresa, riducendo i loop semplici, ma non elimina tutti i loop complessi (serve il Poison Reverse o Hold Down)."
"nella soluzione di livello 3 di vpn basate su MPLS e BGP i pachetti che transitano sulla dorsale MPLS hanno due etichette","i router interni (p) non modificano(swap) mai l'etichetta più esterna","l'etichetta più esterna è usata dai router interni(p) per inoltrare verso un router PE","l'etichetta più interna è usata dai router interni(p) per inoltrare verso un router PE","entrambe le etichette sono usate dai router interni (P)...",B,"L'etichetta esterna serve al trasporto nel backbone (verso il PE di uscita); quella interna identifica la VPN del cliente ed è letta solo dal PE finale."
"The configuration of a switch port in access mode is used for","Allowing the access to the switch only to specific flows...","Enabling the access to the network","Assigning a packet received on that port to a specific VLAN","Assigning a packet sent through that port to a specific VLAN",C,"Una porta in modalità Access appartiene a una sola VLAN; il traffico entrante non taggato viene associato a quella specifica VLAN."
"Nel protocollo OSPF, gli LSA di tipo Network Link presenti nel Link State Database...","Le adiacenze di ogni router con le reti IP configurate sulle proprie interfacce","Le reti IP presenti nel dominio OSPF ma in aree differenti...","Le adiacenze con le reti di transito presenti nel dominio OSPF","Le adiacenze con le reti di transito presenti nell'area in esame",D,"Gli LSA Type 2 (Network Link) sono generati dal Designated Router (DR) e descrivono i router connessi al segmento di rete multi-access (transito) all'interno dell'area."
"The Mapping Address and Port (MAP) technique for the IPv4-IPv6 transition is based on","The utilization, on the CPE, of an IPv6 address derived from the IPv4 address and the Port Set ID...","The utilization, on the Border Relay, of an IPv6 address...","The utilization, on the CPE, of an IPv6 address selected among a fixed set...","The utilization, on the CPE, of an IPv6 address which varies on the basis of the IPv4 destination...",A,"MAP (Mapping of Address and Port) è una tecnica stateless che codifica l'indirizzo IPv4 e un range di porte (Port Set ID) all'interno dell'indirizzo IPv6 della CPE."
"RIP, caratteristica:","Necessità della configurazione da parte dell'amministratore per funzionare","Comunica informazioni con i router vicini","E' in grado di rilevare gli indirizzi IP degli host collegati...",N/A,B,"RIP è un protocollo Distance Vector che annuncia periodicamente la propria tabella di routing solo ai router direttamente connessi (vicini)."
"In MPLS (unlike in IP) support for scalable traffic engineering is specifically enabled by","The availability of efficient label distribution protocols","The deployment of a unified control plane","The deployment of dynamic and distributed routing protocols","The forwarding information in the data plane not being automatically updated when the routing information changes",D,"Il Traffic Engineering in MPLS è possibile perché il percorso (LSP) può essere fissato (explicit routing) e non segue automaticamente il percorso IGP più breve, disaccoppiando routing e forwarding."
"Una BSC (Base Station Controller)","è il punto di accesso per il MT","Contiene i dati statici dell'utente","è in grado di controllare una singola BTS","è in grado di controllare un grande numero di BTS",D,"Nel GSM, la BSC controlla decine o centinaia di BTS, gestendo le risorse radio e gli handover tra di esse."
"le comunicazioni multicast in una rete ipv4","sono possibili solo all'interno di una singola rete lan...","sono sempre possibili, IGMP le rende solo più efficienti","non sono possibili senza l'utilizzo di protocolli aggiuntivi nella rete","sono possibili su scala geografica grazie all'utilizzo del solo protocollo IGMP",C,"Il routing multicast (PIM, DVMRP) è necessario per trasportare il traffico multicast attraverso i router; senza di esso, il multicast non passa le sottoreti."
"The ICMPv6 Router Advertisement packet","Enables device autoconfiguration without a DHCP protocol intervention","Is sent as a reply to an ICMPv6 Neighbor Solicitation packet","Is a broadcast packet","Is sent periodically by a router to all the other routers...",A,"Il messaggio RA fornisce il prefisso di rete agli host, permettendo loro di generare il proprio indirizzo IPv6 (SLAAC) senza bisogno di un server DHCP."
"Le soluzioni di VPN (virtual private network) di livello 3 basate su MPLS sono caratterizzate da","Livelli particolarmente alti di sicurezza...","Buon livello di automatizzazione e integrazione tra la dorsale pubblica e le reti private","Meccanismi di tunneling di livello 3, ovvero all'interno di pacchetti IP",N/A,C,"Le VPN MPLS L3 usano etichette MPLS (Layer 2.5) per creare tunnel, non necessariamente tunnel IP-in-IP (come GRE o IPsec), ma funzionalmente separano routing L3."
"L'indirizzo IPv6 2001:4600::0201:06FF:FEA5:3A4C è:","Un indirizzo di tipo privato","Un indirizzo utilizzabile da un server per offrire un servizio sulla Internet pubblica IPv6","Un indirizzo utilizzabile da un host unicamente per effettuare delle comunicazioni con un altro host sullo stesso link","Un indirizzo al momento non valido in IPv6",B,"Inizia con 2001::/16, che è il prefisso per gli indirizzi Global Unicast (pubblici) assegnati."
"In un pacchetto che viaggia su una rete MPLS, è possibile avere più label contemporaneamente?","No, non è previsto.","Sì, ma non più di 2.","Sì, ma non più di 20.","Si, ma solo nei tunnel MPLS usati per le VPN.",C,"MPLS supporta lo stacking delle etichette (Label Stack) teoricamente indefinito (limitato solo dall'MTU), usato per VPN, Traffic Engineering (Fast Reroute), ecc."
"The main contribution to the latency experienced in the nodes of a heavily loaded packet network is given by","The time needed to process the packet.","The time taken to transmit the packet on an output link","The time taken to locate... the information need to forward","The time spent in buffers while waiting for resources occupied by other packets",D,"In condizioni di carico elevato (congestione), il tempo di accodamento (queueing delay) è la componente dominante della latenza."
"Il protocollo IGMP","Permette ad un router IPv4 di scoprire quali gruppi multicast sono presenti in una rete ad esso direttamente connessa","Permette ad un host IPv4 di creare un nuovo gruppo multicast","Permette ad un router IPv4 di scoprire quali gruppi multicast sono attivi... nella rete Internet","E' una nuova versione del protocollo ICMP",A,"IGMP serve ai router per sapere se ci sono membri di un gruppo multicast nella LAN locale per decidere se inoltrare o meno il traffico."
"The term handover in cellular networks refers to","The movement... even if in that moment there are no active communications","The movement of a mobile terminal from a cell to another without the interruption of an active communication","The use of a mobile terminal in the network of a different operator","The turn-on of the mobile terminal...",B,"L'handover è specifico per il mantenimento della connessione attiva durante lo spostamento tra celle."
"La tecnica di forwarding ""Source Routing"":","Prevede l'utilizzo di client molto semplici...","è adatta quando si vuole minimizzare il numero di bytes...","Il nodo mittente deve avere una conoscenza (almeno parziale) della topologia di rete","è la tecnica comunemente utilizzata dal protocollo IP...",C,"Nel Source Routing, il mittente decide il percorso. Per farlo, deve conoscere la topologia della rete."
"The Random Access CHannel (RACH) in a GSM network is used","By mobile terminals for sending voice samples...","By the network, for offering dedicated communication channels","By mobile terminals, for requesting dedicated communication channels to the network","By mobile terminals for sending voice samples...",C,"Il RACH è il canale di uplink usato dai terminali per chiedere l'assegnazione di un canale dedicato (SDCCH/TCH) per iniziare una chiamata o inviare dati."
"Which type of cloud Delivery Model has major control and responsibility over its configuration and utilization?","Security-as-a-Service","Infrastructure-as-a-Service (IaaS)","Software-as-a-Service (SaaS)","Platform-as-a-Service (PaaS)",B,"In IaaS, l'utente gestisce il sistema operativo, il middleware e le applicazioni, avendo il controllo maggiore rispetto a PaaS e SaaS."
"Data una rete... è possibile realizzare un piano di indirizzamento in grado di ottimizzare il routing su un certo router di quella rete:","Assegnando... indirizzi scelti randomicamente...","Assegnando... in ordine decrescente di dimensione della rete","Dividendo la rete in aree e definendo... range di indirizzi distinti da utilizzare in ciascuna di quelle aree",N/A,C,"L'assegnazione gerarchica (per aree) permette l'aggregazione delle rotte (route summarization), riducendo la dimensione delle tabelle di routing."
"When an MPLS frame has multiple labels. routers","Only process the most external label to decide how to forward the frame","Only process the most Internal label...","Only can swap the most external and the next label...","Can swap any of the labels",A,"I router MPLS (LSR) prendono decisioni di inoltro basandosi esclusivamente sull'etichetta in cima allo stack (most external)."
"La caratteristica di una VPN di accesso centralizzata è che","Il traffico non diretto alla VPN viene fatto passare comunque attraverso il VPN gateway.","L'autenticazione... viene delegato all'ISP.","Il traffico non diretto alla VPN non è costretto a passare...","L'autenticazione... non viene fatta dal VPN gateway.",A,"Nelle VPN ad accesso centralizzato (full-tunnel), tutto il traffico del client, incluso quello per Internet, passa per il tunnel aziendale per sicurezza e filtraggio."
"Cosa sono i bursts?","Sono dei pacchetti che viaggiano sulla rete IP","Sono trame che viaggiano attraverso onde radio","Sono blocchi dati che viaggiano su circuit switched networks","Sono i raggruppamenti di celle di dimensione G",C,"(In contesto GSM/TDMA) I burst sono le unità fisiche di trasmissione contenenti i dati (voce/segnalazione) inserite negli slot temporali."
"aumentando il numero di VLAN","Aumentano i domini di collisione","Diminuiscono i domini di collisione","Aumentano i domini di broadcast","Diminuiscono i domini di broadcast",C,"Ogni VLAN è un dominio di broadcast separato. Più VLAN = Più domini di broadcast (più piccoli)."
"Per il supporto dei prefissi di rete a lunghezza variabile in una zona della rete in cui sia utilizzato routing dinamico:","La netmask associata al prefisso deve essere fornita ai router in fase di configurazione","La netmask viene dedotta automaticamente","Le informazioni di routing... devono includere la subnet mask associata ad ogni prefisso annunciato","E obbligatorio l'utilizzo dei protocolli OSPF o BGP",C,"I protocolli classless (RIPv2, OSPF, EIGRP, BGP) devono trasportare la subnet mask insieme all'indirizzo IP per supportare VLSM."
"An ARP Request that a host with IP address 130.192.10.1/24 sends to learn the MAC address of a host with IP address 130.192.10.200","Arrives at the destination if the two hosts are connected by means of an Ethernet switch...","Never arrives at the destination","Actually, the ARP Request is not sent because the destination host is outside the IP network of the source","Always arrives at the destination...",A,"Entrambi gli IP sono nella stessa sottorete (/24). L'ARP Request è broadcast e attraversa lo switch arrivando a destinazione."
"Data una certa LAN su cui sono state definite delle VLAN, una frame broadcast:","Raggiunge possibilmente solo una porzione della LAN","Raggiunge tutti gli host della LAN",N/A,N/A,A,"Il broadcast raggiunge solo le porte appartenenti alla stessa VLAN del mittente, che è solo una porzione della LAN fisica totale."
"The Frequency Reuse in a cellular network refers to","The reuse of frequencies usually adopted for other services","The reuse of the same frequency to send consecutive text messages","The reuse of the same frequency for all the phone calls made by a terminal","The reuse of the same frequency in different cells that are sufficiently distant",D,"(Duplicata della 55)."
"Il protocollo IS-IS","E' un protocollo di routing obsoleto...","E' un protocollo di routing basatao sull'algoritmo link state molto utilizzato nelle reti di grosse dimensioni","E' un protocollo usato dagli switch Ethernet...","E' un protocollo evoluzione del BGP...",B,"IS-IS è un protocollo Link State (come OSPF) scalabile e agnostico rispetto al protocollo di rete (usato per IP e CLNP), molto usato nei backbone ISP."
